Model,Model Number,K,neg2LogL,AICc,deltaAICc,Weight,Weight.pct,Transmission_mode_1a,Transmission_mode_1b,Transmission_mode_2a,Transmission_mode_2b,Transmission_mode_2c,Transmission_mode_2d,Transmission_mode_3a,Transmission_mode_3b,Transmission_mode_3c,Transmission_mode_3d,Transmission_mode_3e,Transmission_mode_3f
9b1,43,6,82.63334492,111.4333449,21.03581353,9.44E-06,0.000943827,0,1,0,1,0,0,1,0,0,0,0,0
8d4,37,6,85.33177588,114.1317759,23.73424448,2.45E-06,0.00024487,0,0,0,0,0,1,0,0,0,1,0,0
9c3,52,7,72.82674737,114.8267474,24.42921598,1.73E-06,0.000172991,0,1,0,0,1,0,0,0,1,0,0,0
9d1,45,7,74.098259,116.098259,25.70072761,9.16E-07,9.16E-05,0,1,0,0,0,1,1,0,0,0,0,0
9c5,60,7,74.52028205,116.5202821,26.12275066,7.42E-07,7.42E-05,0,1,0,0,1,0,0,0,0,0,1,0
9b5,59,7,76.92044331,118.9204433,28.52291192,2.23E-07,2.23E-05,0,1,0,1,0,0,0,0,0,0,1,0
5a,8,7,77.71509417,119.7150942,29.31756278,1.50E-07,1.50E-05,1,1,1,0,0,0,0,0,0,0,0,0
9a4,54,7,78.18136019,120.1813602,29.7838288,1.19E-07,1.19E-05,0,1,1,0,0,0,0,0,0,1,0,0
9b3,51,7,78.67685793,120.6768579,30.27932654,9.28E-08,9.28E-06,0,1,0,1,0,0,0,0,1,0,0,0
9a2,46,7,78.803685,120.803685,30.40615361,8.71E-08,8.71E-06,0,1,1,0,0,0,0,1,0,0,0,0
9d3,53,8,73.24442296,137.244423,46.84689157,2.34E-11,2.34E-09,0,1,0,0,0,1,0,0,1,0,0,0
9c2,48,8,73.40671078,137.4067108,47.00917939,2.16E-11,2.16E-09,0,1,0,0,1,0,0,1,0,0,0,0
9d5,61,8,73.73605026,137.7360503,47.33851886,1.83E-11,1.83E-09,0,1,0,0,0,1,0,0,0,0,1,0
5c,10,8,73.91867342,137.9186734,47.52114203,1.67E-11,1.67E-09,1,1,0,0,1,0,0,0,0,0,0,0
9c4,56,8,74.10998694,138.1099869,47.71245555,1.52E-11,1.52E-09,0,1,0,0,1,0,0,0,0,1,0,0
5b,9,8,74.89302215,138.8930222,48.49549076,1.03E-11,1.03E-09,1,1,0,1,0,0,0,0,0,0,0,0
5d,11,8,75.23817253,139.2381725,48.84064114,8.65E-12,8.65E-10,1,1,0,0,0,1,0,0,0,0,0,0
9b2,47,8,75.81041741,139.8104174,49.41288602,6.50E-12,6.50E-10,0,1,0,1,0,0,0,1,0,0,0,0
9b4,55,8,76.61922987,140.6192299,50.22169847,4.34E-12,4.34E-10,0,1,0,1,0,0,0,0,0,1,0,0
9d4,57,9,74.66885194,182.6688519,92.27132055,3.21E-21,3.21E-19,0,1,0,0,0,1,0,0,0,1,0,0
9d2,49,9,76.19503974,184.1950397,93.79750835,1.50E-21,1.50E-19,0,1,0,0,0,1,0,1,0,0,0,0
